Férfi ↓ Nő →;Aswini 1;Aswini 2;Aswini 3;Aswini 4;Bharani 1;Bharani 2;Bharani 3;Bharani 4;Krittika 1;Krittika 2;Krittika 3;Krittika 4;Rohini 1;Rohini 2;Rohini 3;Rohini 4;Mirigasrisam 1;Mirigasrisam 2;Mirigasirisam 3;Mirigasirisam 4;Adra 1;Adra 2;Adra 3;Adra 4;Punarpusam 1;Punarpusam 2;Punarpusam 3;Punarpusam 4;Poosam 1;Poosam 2;Poosam 3;Poosam 4;Ayilyam 1;Ayilyam 2;Ayilyam 3;Ayilyam 4;Magam 1;Magam 2;Magam 3;Magam 4;Pooram 1;Pooram 2;Pooram 3;Pooram 4;Utthiram 1;Utthiram 2;Utthiram 3;Utthiram 4;Astham 1;Astham 2;Astham 3;Astham 4;Chittirai 1;Chittirai 2;Chittirai 3;Chittirai 4;Swati 1;Swati 2;Swati 3;Swati 4;Visakam 1;Visakam 2;Visakam 3;Visakam 4;Anusham 1;Anusham 2;Anusham 3;Anusham 4;Ketai 1;Ketai 2;Ketai 3;Ketai 4;Mulam 1;Mulam 2;Mulam 3;Mulam 4;Pooradam 1;Pooradam 2;Pooradam 3;Pooradam 4;Utthiradam 1;Utthiradam 2;Utthiradam 3;Utthiradam 4;Thiruvonam 1;Thiruvonam 2;Thiruvonam 3;Thiruvonam 4;Avittam 1;Avittam 2;Avittam 3;Avittam 4;Sathayam 1;Sathayam 2;Sathayam 3;Sathayam 4;Pooratadhi 1;Pooratadhi 2;Pooratadhi 3;Pooratadhi 4;Utthiratadhi 1;Utthiratadhi 2;Utthiratadhi 3;Utthiratadhi 4;Revati 1;Revati 2;Revati 3;Revati 4
Utthiram 1;5,5;5,5;11;11;26;26;26;26;21;21;21;29;33;33;33;33;30;30;30;30;23;16,5;16,5;16,5;16,5;16,5;16,5;16,5;22,5;22,5;19;19;18;18;18;18;15;15;15;15;34;34;34;34;28;28;28;28;14;14;14;14;19;19;19;19;22,5;22,5;22,5;22,5;19,5;19,5;19,5;19,5;22,5;23,5;23,5;23,5;15,5;15,5;14,5;14,5;10,5;10,5;10,5;8;25;25;25;25;24,5;24,5;24,5;24,5;21,5;23;23;23;19;19;19;19;8;8;13,5;13,5;22,5;22,5;22,5;22,5;30,5;30,5;19,5;19,5;17,5;17,5;17,5;17,5
Utthiram 2;5,5;5,5;11;11;26;26;26;26;21;21;21;29;33;33;33;33;30;30;30;30;23;16,5;16,5;16,5;16,5;16,5;16,5;16,5;22,5;22,5;19;19;18;18;18;18;15;15;15;15;34;34;34;34;28;28;28;28;14;14;14;14;19;19;19;19;22,5;22,5;22,5;22,5;19,5;19,5;19,5;19,5;22,5;23,5;23,5;23,5;15,5;15,5;14,5;14,5;10,5;10,5;10,5;8;25;25;25;25;24,5;24,5;24,5;24,5;21,5;23;23;23;19;19;19;19;8;8;13,5;13,5;22,5;22,5;22,5;22,5;30,5;30,5;19,5;19,5;17,5;17,5;17,5;17,5
Utthiram 3;5,5;5,5;11;11;26;26;26;26;21;21;21;29;33;33;33;33;30;30;30;30;23;16,5;16,5;16,5;16,5;16,5;16,5;16,5;22,5;22,5;19;19;18;18;18;18;15;15;15;15;34;34;34;34;28;28;28;28;14;14;14;14;19;19;19;19;22,5;22,5;22,5;22,5;19,5;19,5;19,5;19,5;22,5;23,5;23,5;23,5;15,5;15,5;14,5;14,5;10,5;10,5;10,5;8;25;25;25;25;24,5;24,5;24,5;24,5;21,5;23;23;23;19;19;19;19;8;8;13,5;13,5;22,5;22,5;22,5;22,5;30,5;30,5;19,5;19,5;17,5;17,5;17,5;17,5
Utthiram 4;5,5;5,5;11;11;26;26;26;26;21;21;21;29;33;33;33;33;30;30;30;30;23;16,5;16,5;16,5;16,5;16,5;16,5;16,5;22,5;22,5;19;19;18;18;18;18;15;15;15;15;34;34;34;34;28;28;28;28;14;14;14;14;19;19;19;19;22,5;22,5;22,5;22,5;19,5;19,5;19,5;19,5;22,5;23,5;23,5;23,5;15,5;15,5;14,5;14,5;10,5;10,5;10,5;8;25;25;25;25;24,5;24,5;24,5;24,5;21,5;23;23;23;19;19;19;19;8;8;13,5;13,5;22,5;22,5;22,5;22,5;30,5;30,5;19,5;19,5;17,5;17,5;17,5;17,5
Astham 1;10,5;10,5;16;16;23;23;23;23;21;21;21;29;32;32;32;32;33;33;33;33;25;18,5;18,5;18,5;16,5;16,5;16,5;16,5;28,5;28,5;28,5;25;15;15;15;15;18;18;18;18;30;30;30;30;26;26;26;26;21;21;21;21;17;17;17;17;29,5;29,5;29,5;29,5;17,5;17,5;17,5;17,5;27,5;28,5;28,5;28,5;11,5;11,5;10,5;10,5;13,5;13,5;13,5;11;21;21;21;21;23,5;23,5;23,5;23,5;24,5;26;26;26;19;19;19;19;10;10;15,5;15,5;18,5;18,5;18,5;18,5;31,5;31,5;20,5;20,5;18,5;18,5;18,5;18,5
Astham 2;22;22;15;15;22;22;22;22;20;20;20;22;25;25;25;26;26;26;26;26;18;18;18;18;16;16;16;16;28;28;28;28;18;18;18;18;21;21;21;21;22;22;22;22;18;18;18;18;26;28;28;28;27;27;27;27;25;25;25;25;13;13;13;13;23;28,5;28,5;28,5;11,5;11,5;10,5;10,5;13,5;13,5;13,5;18;28;28;28;28;30,5;30,5;30,5;30,5;31,5;27;27;27;20;20;20;20;11;11;4;4;7;7;7;7;20;20;32;32;30;30;30;30
Astham 3;22;22;15;15;22;22;22;22;20;20;20;22;25;25;25;26;26;26;26;26;18;18;18;18;16;16;16;16;28;28;28;28;18;18;18;18;21;21;21;21;22;22;22;22;18;18;18;18;28;28;28;28;27;27;27;27;25;25;25;25;13;13;13;13;23;28,5;28,5;28,5;11,5;11,5;10,5;10,5;13,5;13,5;18;18;28;28;28;28;30,5;30,5;30,5;30,5;31,5;27;27;27;20;20;20;20;11;11;4;4;7;7;7;7;20;20;32;32;30;30;30;30
Astham 4;22;22;15;15;22;22;22;22;20;20;20;22;25;25;25;26;26;26;26;26;18;18;18;18;16;16;16;16;28;28;28;28;18;18;18;18;21;21;21;20;22;22;22;22;18;18;18;18;26;28;28;28;27;27;27;27;25;25;25;25;13;13;13;13;23;28,5;28,5;28,5;11,5;11,5;10,5;10,5;13,5;13,5;13,5;18;28;28;28;28;30,5;30,5;30,5;30,5;31,5;27;27;27;20;20;20;20;11;11;4;4;7;7;7;7;20;20;32;32;30;30;30;30
Chittirai 1;23;23;16;16;13;13;13;13;21;21;21;23;24;24;24;24;14;14;14;14;23;23;23;23;21;21;21;21;10;10;10;10;26;26;26;26;24;24;24;23;15;15;15;15;18;18;18;18;26;28;28;28;28;28;28;28;14;14;14;14;25;25;25;25;6;11,5;11,5;11,5;27,5;27,5;26,5;26,5;23,5;23,5;23,5;28;20;20;20;20;25,5;25,5;25,5;25,5;21;21;21;21;18;18;18;18;26;26;19;19;16;16;16;16;4;4;16;16;26;26;26;26
Chittirai 2;23;23;16;16;13;13;13;13;21;21;21;23;24;24;24;24;14;14;14;14;23;23;23;23;21;21;21;21;10;10;10;10;26;26;26;26;24;24;24;23;15;15;15;15;18;18;18;18;26;28;28;28;28;28;28;28;14;14;14;14;25;25;25;25;6;11,5;11,5;11,5;27,5;27,5;26,5;26,5;23,5;23,5;23,5;28;20;20;20;20;25,5;25,5;25,5;25,5;21;21;21;21;18;18;18;18;26;26;19;19;16;16;16;16;4;4;16;16;26;26;26;26
Chittirai 3;23;23;16;16;13;13;13;13;21;21;21;23;24;24;24;24;14;14;14;14;23;23;23;23;21;21;21;21;10;10;10;10;26;26;26;26;24;24;24;23;15;15;15;15;18;18;18;18;26;28;28;28;28;28;28;28;14;14;14;14;25;25;25;25;6;11,5;11,5;11,5;27,5;27,5;26,5;26,5;23,5;23,5;23,5;28;20;20;20;20;25,5;25,5;25,5;25,5;21;21;21;21;18;18;18;18;26;26;19;19;16;16;16;16;4;4;16;16;26;26;26;26
Chittirai 4;23;23;16;16;13;13;13;13;21;21;21;23;24;24;24;24;14;14;14;14;23;23;23;23;21;21;21;21;10;10;10;10;26;26;26;26;24;24;24;23;15;15;15;15;18;18;18;18;26;28;28;28;28;28;28;28;14;14;14;14;25;25;25;25;6;11,5;11,5;11,5;27,5;27,5;26,5;26,5;23,5;23,5;23,5;28;20;20;20;20;25,5;25,5;25,5;25,5;21;21;21;21;18;18;18;18;26;26;19;19;16;16;16;16;4;4;16;16;26;26;26;26
Swati 1;30;30;23;23;22;22;22;22;12;12;12;14;14;14;14;14;26;26;26;26;26;26;26;26;27;27;27;27;28;28;28;28;10;10;10;10;13;13;13;13;22;22;22;22;26;26;26;26;34;33;33;33;27;27;27;27;17;17;17;17;5;5;5;5;23;28,5;28,5;28,5;19,5;19,5;18,5;18,5;21,5;21,5;21,5;26;28;28;28;28;22,5;22,5;22,5;22,5;20,5;16;16;16;20;20;20;20;19;19;12;12;18;18;18;18;20;20;32;32;22;22;22;22
Swati 2;23;23;30;30;29;29;29;29;19;19;19;8,5;8,5;8,5;8,5;8,5;20,5;20,5;20,5;20,5;23;23;23;23;24;24;24;24;25;25;25;33;15;15;15;15;18;18;18;18;24,5;24,5;24,5;24,5;28,5;28,5;28,5;28,5;24;23;23;23;17;17;17;17;28;28;28;28;19;19;19;19;34;26;26;26;17;17;16;16;19;19;19;21,5;23,5;23,5;23,5;23,5;18,5;18,5;18,5;18,5;17,5;17,5;17,5;17,5;21,5;21,5;21,5;21,5;20,5;17;17;17;23;23;23;23;25;25;25;25;15;15;15;15
Swati 3;23;23;30;30;29;29;29;29;19;19;19;8,5;8,5;8,5;8,5;8,5;20,5;20,5;20,5;20,5;23;23;23;23;24;24;24;24;25;25;25;33;15;15;15;15;18;18;18;14,5;24,5;24,5;24,5;24,5;28,5;28,5;28,5;28,5;24;23;23;23;17;17;17;17;28;28;28;28;19;19;19;19;34;26;26;26;17;17;16;16;19;19;21,5;21,5;23,5;23,5;23,5;23,5;18,5;18,5;18,5;18,5;16,5;17,5;17,5;17,5;21,5;21,5;21,5;21,5;20,5;17;17;17;23;23;23;23;25;25;25;25;15;15;15;15
Swati 4;23;23;30;30;29;29;29;29;19;19;19;8,5;8,5;8,5;8,5;8,5;20,5;20,5;20,5;20,5;23;23;23;23;24;24;24;24;25;25;25;33;15;15;15;15;18;18;18;14,5;24,5;24,5;24,5;24,5;28,5;28,5;28,5;28,5;24;23;23;23;17;17;17;17;28;28;28;28;19;19;19;19;34;26;26;26;17;17;16;16;19;19;19;21,5;23,5;23,5;23,5;23,5;18,5;18,5;18,5;18,5;16,5;17,5;17,5;17,5;21,5;21,5;21,5;21,5;20,5;17;17;17;23;23;23;23;25;25;25;25;15;15;15;15
Visakam 1;16;16;23;23;28;28;28;28;20;20;20;9,5;10,5;10,5;10,5;10,5;13,5;13,5;13,5;13,5;17,5;20;20;20;18;18;18;18;18;18;26;26;23;23;23;23;21;21;21;17,5;25,5;25,5;25,5;25,5;20,5;20,5;20,5;16;18;18;18;18;23;23;23;23;20;20;20;20;28;28;28;28;17;17;17;17;25;25;24;24;21;21;21;21;23,5;23,5;23,5;23,5;13,5;13,5;13,5;13,5;14,5;14,5;14,5;14,5;24,5;24,5;24,5;24,5;27,5;27,5;24;24;21;21;21;21;20;20;20;20;11;11;11;11
Visakam 2;16;16;23;23;28;28;28;28;20;20;20;9,5;10,5;10,5;10,5;10,5;13,5;13,5;13,5;13,5;17,5;20;20;20;18;18;18;18;18;18;26;26;23;23;23;23;21;21;21;17,5;25,5;25,5;25,5;25,5;20,5;20,5;20,5;16;18;18;18;18;23;23;23;23;20;20;20;20;28;28;28;28;17;17;17;17;25;25;24;24;21;21;21;23,5;23,5;23,5;23,5;23,5;13,5;13,5;13,5;13,5;14,5;14,5;14,5;14,5;24,5;24,5;24,5;24,5;27,5;27,5;24;24;21;21;21;21;20;20;20;20;11;11;11;11
